Dates,CCI Values
2019-10-10,-56.7613
2019-10-09,-15.6811
2019-10-08,-52.1585
2019-10-07,-29.8409
2019-10-04,-50.5144
2019-10-03,-135.6504
2019-10-02,-205.0440
2019-10-01,-99.7026
2019-09-30,-60.1083
2019-09-27,47.8933
2019-09-26,92.8567
2019-09-25,132.8753
2019-09-24,-22.1973
2019-09-23,-34.7826
2019-09-20,39.7051
2019-09-19,84.8651
2019-09-18,87.3253
2019-09-17,89.1466
2019-09-16,83.0337
2019-09-13,119.2240
2019-09-12,154.8561
2019-09-11,228.1040
2019-09-10,113.5011
2019-09-09,-26.6931
2019-09-06,62.9264
2019-09-05,55.9949
2019-09-04,2.9501
2019-09-03,-1.3188
2019-08-30,80.7326
2019-08-29,83.1068
2019-08-28,66.8487
2019-08-27,80.6536
2019-08-26,134.1691
2019-08-23,193.7811
2019-08-22,225.8135
2019-08-21,121.7186
2019-08-20,10.0940
2019-08-19,56.2827
2019-08-16,-17.1327
2019-08-15,-99.9155
2019-08-14,-162.9786
2019-08-13,-3.0345
2019-08-12,-19.6320
2019-08-09,23.7788
2019-08-08,-27.1720
2019-08-07,-107.9987
2019-08-06,-99.9661
2019-08-05,-114.8372
2019-08-02,-78.2057
2019-08-01,-88.1690
2019-07-31,-70.1201
2019-07-30,-91.7564
2019-07-29,-138.8128
2019-07-26,-172.1204
2019-07-25,-175.9926
2019-07-24,-24.5132
2019-07-23,89.8616
2019-07-22,147.7346
2019-07-19,162.0170
2019-07-18,61.5739
2019-07-17,131.8071
2019-07-16,123.4451
2019-07-15,114.7420
2019-07-12,133.4139
2019-07-11,-0.3694
2019-07-10,-54.1355
2019-07-09,-78.7410
2019-07-08,-96.3999
2019-07-05,-87.4290
2019-07-03,-117.9594
2019-07-02,-150.6475
2019-07-01,-173.7559
2019-06-28,-66.5618
2019-06-27,-16.4055
2019-06-26,63.1066
2019-06-25,48.9013
2019-06-24,76.0599
2019-06-21,92.3054
2019-06-20,125.3474
2019-06-19,180.8127
2019-06-18,241.9876
2019-06-17,73.8680
2019-06-14,-1.3517
2019-06-13,4.8082
2019-06-12,-13.8096
2019-06-11,50.1542
2019-06-10,91.5987
2019-06-07,72.2088
2019-06-06,23.5868
2019-06-05,-43.6579
2019-06-04,-69.6539
2019-06-03,-181.6982
