Dates,OBV Values
2010-02-04,34579500.0000
2010-02-03,42070200.0000
2010-02-02,36589600.0000
2010-02-01,44451900.0000
2010-01-29,38532000.0000
2010-01-28,47257400.0000
2010-01-27,38394900.0000
2010-01-26,23636400.0000
2010-01-25,28188400.0000
2010-01-22,24698500.0000
2010-01-21,29441800.0000
2010-01-20,34843100.0000
2010-01-19,40217200.0000
2010-01-15,45644300.0000
2010-01-14,50711600.0000
2010-01-13,47711200.0000
2010-01-12,42760800.0000
2010-01-11,48034600.0000
2010-01-08,53659500.0000
2010-01-07,60806100.0000
2010-01-06,46427000.0000
2010-01-05,37590500.0000
2010-01-04,28722700.0000
2009-12-31,22536000.0000
2009-12-30,24725400.0000
2009-12-29,27186400.0000
2009-12-28,25022400.0000
2009-12-24,27094600.0000
2009-12-23,26090600.0000
2009-12-22,29152500.0000
2009-12-21,25482700.0000
2009-12-18,21826900.0000
2009-12-17,30747400.0000
2009-12-16,36571600.0000
2009-12-15,44375400.0000
2009-12-14,51740200.0000
2009-12-11,46909600.0000
2009-12-10,39513000.0000
2009-12-09,45268600.0000
2009-12-08,49168700.0000
2009-12-07,53827200.0000
2009-12-04,48878400.0000
2009-12-03,43428500.0000
2009-12-02,47426100.0000
2009-12-01,41446100.0000
2009-11-30,35087100.0000
2009-11-27,40519300.0000
2009-11-25,43800700.0000
2009-11-24,40779200.0000
2009-11-23,44067400.0000
2009-11-20,40812100.0000
2009-11-19,36115700.0000
2009-11-18,39298400.0000
2009-11-17,43675700.0000
2009-11-16,39730300.0000
2009-11-13,34025700.0000
2009-11-12,30480400.0000
2009-11-11,33803900.0000
2009-11-10,30258100.0000
2009-11-09,34993700.0000
2009-11-06,30549600.0000
2009-11-05,33762000.0000
2009-11-04,28846000.0000
2009-11-03,23764000.0000
2009-11-02,23764000.0000
2009-10-30,17831500.0000
2009-10-29,26534100.0000
2009-10-28,18233000.0000
2009-10-27,25142800.0000
2009-10-26,32187500.0000
2009-10-23,39615200.0000
2009-10-22,45471900.0000
2009-10-21,39096900.0000
2009-10-20,47212400.0000
2009-10-19,55401800.0000
2009-10-16,51560600.0000
2009-10-15,44129200.0000
2009-10-14,49813500.0000
2009-10-13,45167400.0000
2009-10-12,42143800.0000
2009-10-09,46117900.0000
2009-10-08,43528200.0000
2009-10-07,40337600.0000
2009-10-06,43996900.0000
2009-10-05,37752600.0000
2009-10-02,34669600.0000
2009-10-01,40710800.0000
2009-09-30,47316800.0000
2009-09-29,53256400.0000
2009-09-28,45990400.0000
2009-09-25,41068500.0000
2009-09-24,44707100.0000
2009-09-23,50059000.0000
2009-09-22,54668100.0000
2009-09-21,50769800.0000
2009-09-18,53845900.0000
2009-09-17,47313000.0000
2009-09-16,42636200.0000
2009-09-15,37534800.0000
2009-09-14,30950400.0000
2009-09-11,35343100.0000
2009-09-10,29462600.0000
2009-09-09,33309800.0000
2009-09-08,27414000.0000
2009-09-04,22830100.0000
2009-09-03,17118700.0000
2009-09-02,11652200.0000
2009-09-01,15487900.0000
2009-08-31,23730300.0000
2009-08-28,33028200.0000
2009-08-27,44484000.0000
2009-08-26,26712200.0000
2009-08-25,30668200.0000
2009-08-24,22420300.0000
2009-08-21,16263200.0000
2009-08-20,10733400.0000
2009-08-19,5541300.0000
2009-08-18,12120200.0000
2009-08-17,17564400.0000
2009-08-14,22775500.0000
2009-08-13,33280800.0000
2009-08-12,29796500.0000
2009-08-11,25114400.0000
2009-08-10,30235900.0000
2009-08-07,35856500.0000
2009-08-06,29167400.0000
2009-08-05,18960400.0000
2009-08-04,11830600.0000
2009-08-03,17795200.0000
2009-07-31,11730400.0000
2009-07-30,17759600.0000
2009-07-29,26039400.0000
2009-07-28,20961300.0000
2009-07-27,13130100.0000
2009-07-24,18801800.0000
2009-07-23,13733800.0000
2009-07-22,27351500.0000
2009-07-21,39403800.0000
