Dates,STOCH Values
2019-03-13,19.8646
2019-03-12,20.2964
2019-03-11,15.3618
2019-03-08,31.6771
2019-03-07,25.6628
2019-03-06,45.3566
2019-03-05,54.0067
2019-03-04,52.7053
2019-03-01,56.4003
2019-02-28,47.4100
2019-02-27,47.7089
2019-02-26,40.5022
2019-02-25,38.1209
2019-02-22,36.3250
2019-02-21,35.6766
2019-02-20,32.5902
2019-02-19,35.1774
2019-02-15,28.9058
2019-02-14,26.9167
2019-02-13,32.6499
2019-02-12,24.6232
2019-02-11,44.2072
2019-02-08,46.4097
2019-02-07,59.4746
2019-02-06,61.5886
2019-02-05,60.0477
2019-02-04,70.4255
2019-02-01,49.5716
2019-01-31,48.1289
2019-01-30,31.4809
2019-01-29,30.1604
2019-01-28,20.1499
2019-01-25,16.1533
2019-01-24,14.0419
2019-01-23,14.1359
2019-01-22,16.4057
2019-01-18,11.8367
2019-01-17,23.8463
2019-01-16,23.2446
2019-01-15,38.2989
2019-01-14,36.4575
2019-01-11,47.1601
2019-01-10,55.1946
2019-01-09,48.9188
2019-01-08,49.8282
2019-01-07,41.9127
2019-01-04,41.7335
2019-01-03,35.9625
2019-01-02,34.1766
2018-12-31,35.6883
2018-12-28,31.9775
2018-12-27,42.4343
2018-12-26,40.9109
2018-12-24,55.9000
2018-12-21,54.4147
2018-12-20,70.1461
2018-12-19,72.3744
2018-12-18,79.5866
2018-12-17,83.6491
2018-12-14,84.1270
2018-12-13,82.7364
2018-12-12,80.7738
2018-12-11,85.9954
2018-12-10,74.2499
2018-12-07,73.5897
