Dates,MAMA Values
2019-08-19,238.3354
2019-08-16,226.3435
2019-08-15,238.3955
2019-08-14,226.3537
2019-08-13,238.4560
2019-08-12,226.3524
2019-08-09,238.5169
2019-08-08,226.2991
2019-08-07,238.5780
2019-08-06,226.2459
2019-08-05,238.6397
2019-08-02,226.2860
2019-08-01,238.7020
2019-07-31,226.2904
2019-07-30,238.7644
2019-07-29,226.3386
2019-07-26,238.8271
2019-07-25,226.3938
2019-07-24,238.8898
2019-07-23,226.4328
2019-07-22,238.9526
2019-07-19,226.5265
2019-07-18,239.0155
2019-07-17,226.7239
2019-07-16,239.0783
2019-07-15,226.8146
2019-07-12,239.1404
2019-07-11,226.8556
2019-07-10,239.2023
2019-07-09,226.8799
2019-07-08,239.2643
2019-07-05,226.8665
2019-07-03,239.3266
2019-07-02,226.7512
2019-07-01,239.3892
2019-06-28,226.6215
2019-06-27,239.4527
2019-06-26,226.5190
2019-06-25,239.5172
2019-06-24,226.4658
2019-06-21,239.5825
2019-06-20,226.3681
2019-06-19,239.6484
2019-06-18,226.2639
2019-06-17,239.7151
2019-06-14,226.1279
2019-06-13,239.7827
2019-06-12,225.9922
2019-06-11,239.8513
2019-06-10,225.8936
2019-06-07,239.9210
2019-06-06,225.7515
2019-06-05,239.9915
2019-06-04,225.5229
2019-06-03,240.0630
2019-05-31,225.2699
2019-05-30,240.1361
2019-05-29,225.0851
2019-05-28,240.2108
2019-05-24,224.8962
2019-05-23,240.2868
2019-05-22,224.6903
2019-05-21,240.3642
2019-05-20,224.5625
2019-05-17,240.4429
2019-05-16,224.4144
2019-05-15,240.5227
2019-05-14,224.2340
2019-05-13,240.6037
2019-05-10,224.0087
2019-05-09,240.6859
2019-05-08,223.7953
2019-05-07,240.7697
2019-05-06,223.5581
2019-05-03,240.8550
2019-05-02,223.3077
2019-05-01,240.9420
2019-04-30,223.0577
2019-04-29,241.0306
2019-04-26,222.7577
2019-04-25,241.1209
2019-04-24,222.4556
2019-04-23,241.2132
2019-04-22,222.1782
2019-04-18,241.3074
2019-04-17,221.8940
2019-04-16,241.4035
2019-04-15,221.5533
2019-04-12,241.5016
2019-04-11,221.2182
2019-04-10,241.6018
2019-04-09,220.9576
2019-04-08,241.7043
2019-04-05,220.6571
2019-04-04,241.8085
2019-04-03,220.4479
2019-04-02,241.9148
2019-04-01,220.2429
2019-03-29,242.0227
2019-03-28,220.0692
2019-03-27,242.1321
2019-03-26,219.9202
2019-03-25,242.2430
2019-03-22,219.8422
2019-03-21,242.3552
2019-03-20,219.7959
2019-03-19,242.4683
2019-03-18,219.7176
2019-03-15,242.5822
2019-03-14,219.6341
2019-03-13,242.6971
2019-03-12,219.5449
