Dates,NATR Values
2020-01-06,2.0180
2020-01-03,2.0157
2020-01-02,2.0829
2019-12-31,2.1092
2019-12-30,2.2283
2019-12-27,2.2824
2019-12-26,2.3868
2019-12-24,2.4920
2019-12-23,2.4968
2019-12-20,2.4286
2019-12-19,2.4040
2019-12-18,2.5551
2019-12-17,2.5907
2019-12-16,2.5272
2019-12-13,2.1918
2019-12-12,2.1394
2019-12-11,2.0323
2019-12-10,1.9034
2019-12-09,1.9700
2019-12-06,2.0292
2019-12-05,2.0293
2019-12-04,2.0805
2019-12-03,2.0862
2019-12-02,2.0491
2019-11-29,1.8376
2019-11-27,1.9676
2019-11-26,1.9544
2019-11-25,2.0722
2019-11-22,2.1610
2019-11-21,2.2176
2019-11-20,2.2949
2019-11-19,2.4184
2019-11-18,2.2716
2019-11-15,2.2787
2019-11-14,2.3784
2019-11-13,2.4642
2019-11-12,2.5665
2019-11-11,2.6050
2019-11-08,2.2605
2019-11-07,2.2571
2019-11-06,2.3162
2019-11-05,2.3497
2019-11-04,2.3314
2019-11-01,2.4332
2019-10-31,2.5595
2019-10-30,2.5812
2019-10-29,2.6301
2019-10-28,2.6490
2019-10-25,2.7729
2019-10-24,2.8566
2019-10-23,2.9517
2019-10-22,2.8422
2019-10-21,2.8650
2019-10-18,2.4305
2019-10-17,1.7540
2019-10-16,1.7898
2019-10-15,1.7516
2019-10-14,1.8454
2019-10-11,1.8625
2019-10-10,1.8859
2019-10-09,1.9361
2019-10-08,2.0266
2019-10-07,1.9805
2019-10-04,2.0549
2019-10-03,2.1739
2019-10-02,2.1735
2019-10-01,2.0352
2019-09-30,1.9884
2019-09-27,1.9901
2019-09-26,1.9474
2019-09-25,2.0265
2019-09-24,2.0063
2019-09-23,2.0627
2019-09-20,2.1112
2019-09-19,2.1181
2019-09-18,2.1800
2019-09-17,2.2354
2019-09-16,2.2987
2019-09-13,2.3539
2019-09-12,2.4632
2019-09-11,2.4035
2019-09-10,2.3017
2019-09-09,2.2949
2019-09-06,2.2672
2019-09-05,2.3594
2019-09-04,2.3943
2019-09-03,2.5630
2019-08-30,2.3606
2019-08-29,2.5110
2019-08-28,2.6242
2019-08-27,2.6766
2019-08-26,2.7003
2019-08-23,2.6723
2019-08-22,2.5017
2019-08-21,2.3600
2019-08-20,2.3246
2019-08-19,2.4040
2019-08-16,2.5145
2019-08-15,2.6562
2019-08-14,2.7257
2019-08-13,2.4998
2019-08-12,2.5467
