Dates,ULTOSC Values
2019-05-30,46.8466
2019-05-29,46.9641
2019-05-28,51.5601
2019-05-24,54.4575
2019-05-23,56.8522
2019-05-22,46.8688
2019-05-21,51.8700
2019-05-20,50.4821
2019-05-17,52.2346
2019-05-16,47.8414
2019-05-15,45.3961
2019-05-14,44.3646
2019-05-13,42.3736
2019-05-10,49.2687
2019-05-09,44.7882
2019-05-08,41.1213
2019-05-07,36.6488
2019-05-06,48.9127
2019-05-03,45.4840
2019-05-02,45.9351
2019-05-01,43.4963
2019-04-30,46.0964
2019-04-29,42.5796
2019-04-26,45.3615
2019-04-25,43.7755
2019-04-24,44.4202
2019-04-23,48.8525
2019-04-22,48.7765
2019-04-18,50.3538
2019-04-17,44.9678
2019-04-16,46.4105
2019-04-15,49.1052
2019-04-12,47.6829
2019-04-11,42.8417
2019-04-10,42.7736
2019-04-09,45.6017
2019-04-08,47.4254
2019-04-05,57.8150
2019-04-04,59.7616
2019-04-03,58.4257
2019-04-02,56.7389
2019-04-01,57.0872
2019-03-29,50.0542
2019-03-28,46.4208
2019-03-27,46.7613
2019-03-26,46.4944
2019-03-25,45.1631
2019-03-22,45.4782
2019-03-21,44.6804
2019-03-20,49.1961
2019-03-19,50.9246
2019-03-18,52.4016
2019-03-15,52.2599
2019-03-14,50.5214
2019-03-13,51.5072
2019-03-12,47.7212
2019-03-11,54.6879
2019-03-08,53.0726
2019-03-07,50.9037
2019-03-06,50.1690
2019-03-05,56.2049
2019-03-04,57.1416
2019-03-01,64.2578
2019-02-28,69.5005
2019-02-27,70.7713
2019-02-26,66.1961
2019-02-25,67.9292
2019-02-22,72.7341
2019-02-21,64.9263
2019-02-20,71.3427
2019-02-19,66.9996
2019-02-15,67.7719
2019-02-14,68.5403
2019-02-13,72.4850
2019-02-12,69.5274
2019-02-11,66.5453
2019-02-08,72.2311
2019-02-07,69.4777
2019-02-06,72.7000
2019-02-05,72.7659
2019-02-04,67.0293
2019-02-01,62.7925
2019-01-31,63.0615
2019-01-30,64.4960
2019-01-29,58.0249
2019-01-28,58.2881
2019-01-25,57.3938
2019-01-24,57.3434
2019-01-23,59.4416
2019-01-22,63.2543
2019-01-18,66.5648
2019-01-17,68.5813
2019-01-16,70.3022
2019-01-15,75.6882
2019-01-14,67.1079
2019-01-11,68.5892
2019-01-10,68.2253
2019-01-09,62.8663
2019-01-08,67.3042
2019-01-07,67.0954
2019-01-04,62.5586
2019-01-03,54.2017
2019-01-02,57.9909
2018-12-31,49.7968
2018-12-28,50.8106
2018-12-27,48.8237
2018-12-26,42.9664
2018-12-24,31.9372
2018-12-21,36.0934
2018-12-20,38.2209
2018-12-19,42.9564
2018-12-18,44.5326
2018-12-17,43.7785
2018-12-14,43.4848
2018-12-13,45.8010
2018-12-12,48.0461
2018-12-11,51.1178
2018-12-10,56.8149
