Dates,TEMA Values
2020-07-08,193.7109
2020-07-07,193.6848
2020-07-06,193.7724
2020-07-02,192.7300
2020-07-01,192.4400
2020-06-30,192.1554
2020-06-29,191.4517
2020-06-26,189.2894
2020-06-25,189.9176
2020-06-24,189.9726
2020-06-23,189.7812
2020-06-22,188.1745
2020-06-19,186.3289
2020-06-18,184.4886
2020-06-17,181.8268
2020-06-16,178.8931
2020-06-15,175.0586
2020-06-12,171.7297
2020-06-11,168.2908
2020-06-10,166.9507
2020-06-09,161.4050
2020-06-08,153.7710
2020-06-05,143.8322
2020-06-04,136.1641
2020-06-03,130.4817
2020-06-02,125.7332
2020-06-01,123.0691
2020-05-29,120.4706
2020-05-28,118.3910
2020-05-27,115.7126
2020-05-26,112.9134
2020-05-22,110.5383
2020-05-21,108.9219
2020-05-20,107.0694
2020-05-19,105.8409
2020-05-18,104.9488
2020-05-15,103.4592
2020-05-14,103.8298
2020-05-13,104.0173
2020-05-12,104.4423
2020-05-11,104.5462
2020-05-08,104.3087
2020-05-07,103.6017
2020-05-06,103.5309
2020-05-05,104.3969
2020-05-04,105.0141
2020-05-01,105.0556
2020-04-30,104.9850
2020-04-29,104.0931
2020-04-28,103.5001
2020-04-27,103.9300
2020-04-24,104.8482
2020-04-23,105.9397
2020-04-22,106.1852
2020-04-21,106.9294
2020-04-20,107.7106
2020-04-17,107.8095
2020-04-16,106.7922
2020-04-15,108.2629
2020-04-14,108.5722
2020-04-13,109.6748
2020-04-09,110.2539
2020-04-08,110.4921
2020-04-07,111.5256
2020-04-06,113.4622
2020-04-03,114.8502
2020-04-02,119.4964
2020-04-01,124.8529
2020-03-31,129.9137
2020-03-30,133.3045
2020-03-27,136.7608
2020-03-26,139.4824
2020-03-25,140.3280
2020-03-24,144.0886
2020-03-23,152.1353
2020-03-20,163.7168
2020-03-19,177.7146
2020-03-18,192.6871
2020-03-17,208.5205
2020-03-16,223.0591
2020-03-13,238.2373
2020-03-12,249.7935
2020-03-11,264.2685
2020-03-10,275.8163
2020-03-09,283.2421
2020-03-06,291.8026
2020-03-05,296.8081
2020-03-04,302.5052
2020-03-03,305.9201
2020-03-02,309.9529
2020-02-28,313.2858
2020-02-27,318.6508
2020-02-26,322.9280
2020-02-25,325.3888
2020-02-24,328.2414
2020-02-21,329.6532
2020-02-20,329.6602
2020-02-19,328.9523
2020-02-18,327.9464
2020-02-14,326.7955
2020-02-13,325.3630
2020-02-12,323.5394
2020-02-11,321.2665
2020-02-10,319.1922
2020-02-07,316.9365
2020-02-06,315.4817
2020-02-05,313.3626
2020-02-04,312.5428
2020-02-03,313.0986
2020-01-31,313.9667
2020-01-30,314.6604
2020-01-29,314.8292
2020-01-28,315.1981
2020-01-27,316.2930
2020-01-24,317.5038
2020-01-23,318.0593
2020-01-22,319.3307
2020-01-21,321.8062
2020-01-17,323.9815
2020-01-16,325.0498
2020-01-15,325.2755
2020-01-14,325.8127
2020-01-13,326.1087
2020-01-10,326.7136
2020-01-09,327.4301
2020-01-08,327.4491
2020-01-07,328.1000
2020-01-06,328.1105
2020-01-03,328.5785
2020-01-02,329.2301
2019-12-31,329.8931
2019-12-30,331.5566
2019-12-27,333.3038
2019-12-26,334.7631
2019-12-24,336.3916
2019-12-23,337.8001
2019-12-20,338.7906
2019-12-19,341.0439
2019-12-18,342.8306
2019-12-17,345.1232
2019-12-16,348.0660
2019-12-13,351.2619
2019-12-12,352.9430
2019-12-11,354.2056
2019-12-10,355.1244
2019-12-09,356.3773
2019-12-06,357.3321
2019-12-05,358.0154
2019-12-04,359.7783
2019-12-03,361.2999
2019-12-02,362.5486
2019-11-29,363.5175
2019-11-27,363.2208
2019-11-26,362.6711
2019-11-25,361.3990
2019-11-22,360.0629
2019-11-21,358.8304
2019-11-20,358.0898
2019-11-19,356.7421
2019-11-18,355.7586
2019-11-15,354.3950
2019-11-14,352.6506
2019-11-13,351.2822
2019-11-12,350.4075
2019-11-11,349.4211
2019-11-08,347.8643
2019-11-07,348.1313
2019-11-06,347.6621
2019-11-05,347.7907
2019-11-04,347.4442
2019-11-01,347.9515
2019-10-31,349.2255
2019-10-30,351.2534
2019-10-29,352.7122
2019-10-28,353.9503
2019-10-25,356.2698
2019-10-24,358.9106
2019-10-23,361.1980
2019-10-22,364.1617
2019-10-21,367.7877
2019-10-18,372.4220
2019-10-17,375.8578
2019-10-16,376.5251
2019-10-15,376.8185
2019-10-14,377.2923
2019-10-11,377.5138
2019-10-10,377.5194
2019-10-09,377.9757
2019-10-08,377.9655
2019-10-07,378.0328
2019-10-04,377.7841
2019-10-03,377.5900
2019-10-02,377.7923
2019-10-01,378.5537
2019-09-30,378.4317
2019-09-27,377.6008
2019-09-26,376.3827
2019-09-25,374.5478
2019-09-24,372.6175
2019-09-23,371.0527
2019-09-20,369.8934
2019-09-19,368.3291
