Dates,MINUS_DI Values
2020-02-27,31.1129
2020-02-26,27.8408
2020-02-25,28.6201
2020-02-24,26.6110
2020-02-21,23.9630
2020-02-20,23.0006
2020-02-19,23.2263
2020-02-18,23.5607
2020-02-14,23.3407
2020-02-13,22.5525
2020-02-12,22.5593
2020-02-11,22.8690
2020-02-10,23.2064
2020-02-07,23.7595
2020-02-06,24.0953
2020-02-05,25.1754
2020-02-04,25.9275
2020-02-03,26.2185
2020-01-31,26.0746
2020-01-30,26.3243
2020-01-29,26.4554
2020-01-28,27.1599
2020-01-27,27.3772
2020-01-24,27.9551
2020-01-23,28.9224
2020-01-22,29.6924
2020-01-21,29.7263
2020-01-17,26.8006
2020-01-16,25.7994
2020-01-15,25.9411
2020-01-14,26.1719
2020-01-13,26.1849
2020-01-10,26.4664
2020-01-09,26.3601
2020-01-08,27.0674
2020-01-07,27.3181
2020-01-06,28.2853
2020-01-03,28.1685
2020-01-02,28.5046
2019-12-31,29.0666
2019-12-30,28.6949
2019-12-27,28.1737
2019-12-26,28.4923
2019-12-24,27.9517
2019-12-23,28.0547
2019-12-20,28.9448
2019-12-19,28.7412
2019-12-18,29.0369
2019-12-17,29.6338
2019-12-16,28.9434
2019-12-13,26.3269
2019-12-12,26.8785
2019-12-11,27.5728
2019-12-10,26.0787
2019-12-09,25.7995
2019-12-06,26.0958
2019-12-05,26.6749
2019-12-04,26.1848
2019-12-03,26.6107
2019-12-02,25.2448
2019-11-29,23.2298
2019-11-27,23.1979
2019-11-26,22.4492
2019-11-25,22.6378
2019-11-22,22.9200
2019-11-21,23.3171
2019-11-20,23.5792
2019-11-19,23.8753
2019-11-18,23.1158
2019-11-15,23.5466
2019-11-14,23.8887
2019-11-13,24.2895
2019-11-12,24.6077
2019-11-11,25.0221
2019-11-08,26.5123
2019-11-07,25.8481
2019-11-06,26.3057
2019-11-05,26.6903
2019-11-04,27.3733
2019-11-01,27.7880
2019-10-31,28.1682
2019-10-30,27.6995
2019-10-29,28.1438
2019-10-28,28.8514
2019-10-25,29.2279
2019-10-24,29.6177
2019-10-23,30.1740
2019-10-22,31.2045
2019-10-21,31.9846
2019-10-18,28.6989
2019-10-17,24.1229
2019-10-16,24.3688
2019-10-15,24.8777
2019-10-14,24.5236
2019-10-11,24.8939
2019-10-10,25.3208
2019-10-09,24.8258
2019-10-08,25.0915
2019-10-07,24.5419
2019-10-04,24.8464
2019-10-03,25.1109
2019-10-02,25.5279
2019-10-01,23.5790
2019-09-30,23.5494
2019-09-27,22.8343
2019-09-26,22.8090
2019-09-25,23.0780
2019-09-24,23.5978
2019-09-23,23.9702
2019-09-20,23.4609
2019-09-19,22.6577
2019-09-18,22.9575
2019-09-17,23.3313
2019-09-16,23.7410
2019-09-13,23.6303
2019-09-12,23.9649
2019-09-11,24.5033
2019-09-10,25.3977
2019-09-09,26.0556
2019-09-06,25.5268
2019-09-05,25.8741
2019-09-04,26.3709
2019-09-03,26.5918
2019-08-30,24.6668
2019-08-29,24.8939
2019-08-28,25.2422
2019-08-27,25.2040
2019-08-26,24.8977
2019-08-23,25.5500
2019-08-22,26.4702
2019-08-21,27.5114
2019-08-20,28.2278
2019-08-19,27.9568
2019-08-16,28.3180
2019-08-15,28.6287
2019-08-14,28.9988
2019-08-13,27.4669
2019-08-12,27.9130
2019-08-09,27.8967
2019-08-08,28.2804
2019-08-07,28.7769
2019-08-06,28.3255
2019-08-05,28.7518
2019-08-02,28.3490
2019-08-01,28.7300
2019-07-31,27.6131
2019-07-30,28.2721
2019-07-29,28.3987
2019-07-26,28.1861
2019-07-25,27.7453
2019-07-24,25.3957
2019-07-23,23.6461
2019-07-22,23.6815
2019-07-19,24.2782
2019-07-18,25.2981
2019-07-17,25.3521
2019-07-16,25.8304
2019-07-15,26.0886
2019-07-12,26.4832
2019-07-11,26.9459
2019-07-10,27.4971
2019-07-09,27.8408
2019-07-08,27.8774
2019-07-05,27.8239
2019-07-03,28.2010
2019-07-02,28.2700
2019-07-01,28.3897
2019-06-28,27.2767
2019-06-27,27.3876
2019-06-26,26.4286
2019-06-25,27.0122
2019-06-24,26.5295
2019-06-21,26.7474
2019-06-20,27.0088
2019-06-19,27.4417
2019-06-18,28.1111
2019-06-17,29.3765
2019-06-14,29.9792
2019-06-13,30.2008
2019-06-12,30.5349
2019-06-11,29.7945
2019-06-10,29.0809
2019-06-07,29.3252
2019-06-06,29.6191
2019-06-05,30.0039
2019-06-04,29.6961
2019-06-03,30.1847
2019-05-31,28.5623
2019-05-30,27.6534
2019-05-29,27.8921
2019-05-28,26.5141
2019-05-24,26.7656
2019-05-23,27.3892
2019-05-22,25.7899
2019-05-21,25.5056
2019-05-20,25.9409
2019-05-17,26.1041
2019-05-16,26.5917
2019-05-15,27.2044
2019-05-14,27.8507
2019-05-13,28.3758
2019-05-10,27.1786
2019-05-09,27.6468
2019-05-08,27.4308
2019-05-07,27.5499
2019-05-06,26.2367
2019-05-03,24.9834
2019-05-02,25.1814
2019-05-01,24.7506
2019-04-30,25.0019
2019-04-29,24.9627
2019-04-26,25.1197
2019-04-25,25.4245
2019-04-24,26.0613
2019-04-23,26.4654
2019-04-22,26.2275
2019-04-18,25.9713
2019-04-17,26.2134
2019-04-16,26.5634
2019-04-15,27.0709
2019-04-12,27.3890
2019-04-11,27.9170
2019-04-10,28.2920
2019-04-09,27.6911
2019-04-08,27.2608
2019-04-05,24.5901
2019-04-04,24.9599
2019-04-03,25.5619
2019-04-02,25.0712
2019-04-01,25.3777
2019-03-29,25.9412
2019-03-28,26.3275
2019-03-27,26.5442
2019-03-26,26.7152
2019-03-25,27.1197
2019-03-22,27.5822
2019-03-21,26.1434
2019-03-20,26.1055
2019-03-19,26.4622
2019-03-18,26.8406
2019-03-15,27.4245
2019-03-14,27.3555
2019-03-13,27.7784
2019-03-12,27.8639
2019-03-11,29.6209
2019-03-08,22.4476
2019-03-07,22.6290
2019-03-06,21.9578
2019-03-05,21.0048
2019-03-04,21.2403
2019-03-01,19.0987
2019-02-28,19.3503
2019-02-27,19.6005
2019-02-26,20.0056
2019-02-25,19.7231
2019-02-22,19.9690
2019-02-21,20.2596
2019-02-20,20.2450
2019-02-19,20.4801
2019-02-15,20.6243
2019-02-14,20.9717
2019-02-13,21.1592
2019-02-12,21.3732
2019-02-11,21.6822
2019-02-08,21.9886
2019-02-07,21.4240
2019-02-06,21.5031
2019-02-05,21.8461
2019-02-04,22.4325
2019-02-01,22.8541
2019-01-31,23.2121
2019-01-30,23.5209
2019-01-29,24.7874
2019-01-28,25.0497
2019-01-25,24.8244
2019-01-24,25.2441
2019-01-23,25.5507
2019-01-22,25.8627
2019-01-18,25.0201
2019-01-17,25.4147
2019-01-16,26.0561
2019-01-15,26.2265
2019-01-14,26.4897
2019-01-11,26.5792
2019-01-10,26.8871
2019-01-09,27.4064
2019-01-08,27.7411
2019-01-07,28.4109
2019-01-04,28.7915
2019-01-03,29.7238
2019-01-02,29.7189
2018-12-31,29.3484
2018-12-28,29.7410
2018-12-27,30.0876
2018-12-26,30.9121
2018-12-24,32.1655
2018-12-21,30.9461
2018-12-20,30.8339
2018-12-19,30.1106
2018-12-18,29.7545
2018-12-17,30.6697
2018-12-14,31.4280
2018-12-13,30.3652
2018-12-12,30.5371
2018-12-11,31.1122
