Dates,MACDEXT Values
2019-03-22,-6.8302
2019-03-21,-1.8994
2019-03-20,-4.9308
2019-03-19,-6.2868
2019-03-18,-0.4635
2019-03-15,-5.8233
2019-03-14,-5.2937
2019-03-13,1.0360
2019-03-12,-6.3296
2019-03-11,-3.7320
2019-03-08,2.5447
2019-03-07,-6.2767
2019-03-06,-2.0280
2019-03-05,3.9982
2019-03-04,-6.0262
2019-03-01,-0.5729
2019-02-28,5.2756
2019-02-27,-5.8484
2019-02-26,0.8055
2019-02-25,6.2967
2019-02-22,-5.4911
2019-02-21,2.5821
2019-02-20,7.0327
2019-02-19,-4.4506
2019-02-15,4.2610
2019-02-14,7.4286
2019-02-13,-3.1677
2019-02-12,6.0932
