Dates,APO Values
2019-08-21,-5.1963
2019-08-20,-6.2026
2019-08-19,-6.5675
2019-08-16,-7.1420
2019-08-15,-7.4363
2019-08-14,-7.4572
2019-08-13,-6.6126
2019-08-12,-6.6903
2019-08-09,-6.7003
2019-08-08,-7.0794
2019-08-07,-7.3395
2019-08-06,-6.8622
2019-08-05,-6.2601
2019-08-02,-5.2615
2019-08-01,-4.7607
2019-07-31,-3.5250
2019-07-30,-2.5858
2019-07-29,-1.9775
2019-07-26,-0.4471
2019-07-25,1.0335
2019-07-24,2.5993
2019-07-23,3.2257
2019-07-22,2.8140
2019-07-19,2.2126
2019-07-18,1.0188
2019-07-17,1.1055
2019-07-16,0.3590
2019-07-15,0.0781
2019-07-12,-0.1676
2019-07-11,-0.8508
2019-07-10,-1.0773
2019-07-09,-0.6806
2019-07-08,-0.2434
2019-07-05,0.5153
2019-07-03,1.0020
2019-07-02,1.7476
2019-07-01,2.7050
2019-06-28,3.6575
2019-06-27,4.0648
2019-06-26,4.5247
2019-06-25,3.9535
2019-06-24,3.7292
2019-06-21,2.9214
2019-06-20,2.0631
2019-06-19,0.6334
2019-06-18,-0.5685
2019-06-17,-2.6343
2019-06-14,-3.3264
2019-06-13,-3.3872
2019-06-12,-3.5855
2019-06-11,-3.6035
2019-06-10,-3.8041
2019-06-07,-4.4519
2019-06-06,-5.2039
2019-06-05,-5.7820
2019-06-04,-6.2467
2019-06-03,-6.3359
2019-05-31,-5.7845
2019-05-30,-5.2686
2019-05-29,-5.3597
2019-05-28,-5.2910
2019-05-24,-5.7344
2019-05-23,-6.2190
2019-05-22,-6.3120
2019-05-21,-6.5619
2019-05-20,-7.3825
2019-05-17,-7.7264
2019-05-16,-8.2760
2019-05-15,-8.7362
2019-05-14,-8.3792
2019-05-13,-7.5417
2019-05-10,-5.7958
2019-05-09,-5.2136
2019-05-08,-4.3406
2019-05-07,-3.5177
2019-05-06,-2.1656
2019-05-03,-1.8374
2019-05-02,-1.8750
2019-05-01,-1.8301
2019-04-30,-1.8457
2019-04-29,-1.9272
2019-04-26,-2.1385
2019-04-25,-2.5500
2019-04-24,-3.2382
2019-04-23,-3.3394
2019-04-22,-3.2769
2019-04-18,-3.2638
2019-04-17,-3.6868
2019-04-16,-3.9196
2019-04-15,-4.5774
2019-04-12,-4.7278
2019-04-11,-5.2667
2019-04-10,-4.9353
2019-04-09,-3.9213
2019-04-08,-2.9778
2019-04-05,-2.2752
2019-04-04,-3.0766
2019-04-03,-4.4456
2019-04-02,-5.0224
2019-04-01,-6.2833
2019-03-29,-7.8798
2019-03-28,-8.7965
2019-03-27,-9.1445
2019-03-26,-9.4328
2019-03-25,-9.2827
2019-03-22,-8.9641
2019-03-21,-7.6025
2019-03-20,-6.8013
2019-03-19,-6.0238
2019-03-18,-4.6724
2019-03-15,-2.7651
2019-03-14,-0.9577
2019-03-13,1.9288
2019-03-12,5.2033
2019-03-11,9.4790
2019-03-08,12.3521
2019-03-07,13.5991
2019-03-06,14.9910
2019-03-05,16.3605
2019-03-04,17.3077
2019-03-01,18.0093
2019-02-28,17.8543
2019-02-27,17.4623
2019-02-26,17.1576
2019-02-25,17.3812
2019-02-22,17.4039
