Dates,EMA Values
2020-03-19,268.0780
2020-03-18,275.0318
2020-03-17,282.0988
2020-03-16,288.5461
2020-03-13,295.0333
2020-03-12,300.1286
2020-03-11,306.0587
2020-03-10,310.8333
2020-03-09,314.0914
2020-03-06,317.6393
2020-03-05,319.8968
2020-03-04,322.3264
2020-03-03,323.9267
2020-03-02,325.6943
2020-02-28,327.1810
2020-02-27,329.3064
2020-02-26,331.0021
2020-02-25,332.0394
2020-02-24,333.1781
2020-02-21,333.8017
2020-02-20,333.9414
2020-02-19,333.8459
2020-02-18,333.6641
2020-02-14,333.4512
2020-02-13,333.1639
2020-02-12,332.7698
2020-02-11,332.2551
2020-02-10,331.8424
2020-02-07,331.4026
2020-02-06,331.2663
2020-02-05,330.9345
2020-02-04,331.0711
2020-02-03,331.6844
2020-01-31,332.4014
2020-01-30,333.0556
2020-01-29,333.5325
2020-01-28,334.0807
2020-01-27,334.8728
2020-01-24,335.6956
2020-01-23,336.2903
2020-01-22,337.1228
2020-01-21,338.3458
2020-01-17,339.4414
2020-01-16,340.1444
2020-01-15,340.5575
2020-01-14,341.0768
2020-01-13,341.5139
2020-01-10,342.0552
2020-01-09,342.6307
2020-01-08,342.9693
2020-01-07,343.5233
2020-01-06,343.8602
2020-01-03,344.3544
2020-01-02,344.9086
2019-12-31,345.4627
2019-12-30,346.3461
2019-12-27,347.2396
2019-12-26,348.0178
2019-12-24,348.8367
2019-12-23,349.5641
2019-12-20,350.1366
2019-12-19,351.1199
2019-12-18,351.9202
2019-12-17,352.8676
2019-12-16,354.0029
2019-12-13,355.1846
2019-12-12,355.8193
2019-12-11,356.2925
2019-12-10,356.6345
2019-12-09,357.0756
2019-12-06,357.4004
2019-12-05,357.6216
2019-12-04,358.1931
2019-12-03,358.6597
2019-12-02,359.0139
2019-11-29,359.2568
2019-11-27,359.0633
2019-11-26,358.7880
2019-11-25,358.2780
2019-11-22,357.7625
2019-11-21,357.2986
2019-11-20,357.0146
2019-11-19,356.5377
2019-11-18,356.1999
2019-11-15,355.7485
2019-11-14,355.1887
2019-11-13,354.7780
2019-11-12,354.5510
2019-11-11,354.2993
2019-11-08,353.8718
2019-11-07,354.0743
2019-11-06,354.0292
2019-11-05,354.1909
2019-11-04,354.1939
2019-11-01,354.4874
2019-10-31,355.0310
2019-10-30,355.8097
2019-10-29,356.3721
2019-10-28,356.8416
2019-10-25,357.6551
2019-10-24,358.5442
2019-10-23,359.2791
2019-10-22,360.2074
2019-10-21,361.3148
2019-10-18,362.7070
2019-10-17,363.6341
2019-10-16,363.5880
2019-10-15,363.4041
2019-10-14,363.2720
2019-10-11,363.0449
2019-10-10,362.7384
2019-10-09,362.5775
2019-10-08,362.2503
2019-10-07,361.9444
2019-10-04,361.5276
2019-10-03,361.1277
2019-10-02,360.8578
2019-10-01,360.7670
2019-09-30,360.3667
2019-09-27,359.7270
2019-09-26,358.9647
2019-09-25,358.0088
2019-09-24,357.0417
2019-09-23,356.2186
2019-09-20,355.5483
2019-09-19,354.7555
2019-09-18,353.7266
2019-09-17,352.5762
2019-09-16,351.4680
2019-09-13,350.5304
2019-09-12,349.5178
2019-09-11,348.6306
2019-09-10,347.4122
2019-09-09,346.6866
2019-09-06,346.3635
2019-09-05,345.8570
2019-09-04,345.4387
2019-09-03,345.1554
2019-08-30,344.9457
2019-08-29,344.3373
2019-08-28,343.7586
2019-08-27,343.2679
2019-08-26,342.9687
2019-08-23,342.4833
2019-08-22,342.1004
2019-08-21,341.7664
2019-08-20,342.0005
2019-08-19,342.5765
2019-08-16,343.0942
2019-08-15,343.7673
2019-08-14,344.5667
2019-08-13,345.7046
2019-08-12,346.3871
2019-08-09,347.0941
2019-08-08,347.6441
2019-08-07,348.2649
2019-08-06,349.1928
2019-08-05,350.1156
2019-08-02,351.1318
2019-08-01,351.8487
2019-07-31,352.8061
2019-07-30,353.5263
2019-07-29,354.0242
2019-07-26,354.8331
2019-07-25,355.4829
2019-07-24,356.0353
2019-07-23,356.0754
2019-07-22,355.6505
2019-07-19,355.1941
2019-07-18,354.5612
2019-07-17,354.5539
2019-07-16,354.2092
2019-07-15,354.1218
2019-07-12,354.0766
2019-07-11,353.8804
2019-07-10,353.9300
2019-07-09,354.2503
2019-07-08,354.5519
2019-07-05,354.9449
2019-07-03,355.1638
