Dates,SAR Values
2016-09-22,122.8766
2016-09-21,123.1565
2016-09-20,123.4480
2016-09-19,123.7516
2016-09-16,124.0679
2016-09-15,124.3974
2016-09-14,124.7406
2016-09-13,125.0981
2016-09-12,125.4704
2016-09-09,125.7001
2016-09-08,125.9368
2016-09-07,126.1808
2016-09-06,126.4324
2016-09-02,126.6918
2016-09-01,126.9592
2016-08-31,127.1265
2016-08-30,127.1967
2016-08-29,120.1902
2016-08-26,119.9735
2016-08-25,119.7501
2016-08-24,119.5198
2016-08-23,119.2824
2016-08-22,119.0376
2016-08-19,118.7852
2016-08-18,118.5251
2016-08-17,118.2569
2016-08-16,117.9804
2016-08-15,117.6954
2016-08-12,117.4015
2016-08-11,117.0986
2016-08-10,116.7863
2016-08-09,116.4643
2016-08-08,116.1324
2016-08-05,115.7902
2016-08-04,115.4374
2016-08-03,115.0737
2016-08-02,114.6988
2016-08-01,114.3122
2016-07-29,113.9138
2016-07-28,113.5029
2016-07-27,113.0794
2016-07-26,112.8617
2016-07-25,112.6395
2016-07-22,112.4128
2016-07-21,112.1814
2016-07-20,111.9454
2016-07-19,111.7045
2016-07-18,111.5992
2016-07-15,121.3643
2016-07-14,121.4629
2016-07-13,121.5625
2016-07-12,121.6632
2016-07-11,121.7648
2016-07-08,121.8675
2016-07-07,121.9712
2016-07-06,122.0760
2016-07-05,122.1818
2016-07-01,122.2887
2016-06-30,122.3967
2016-06-29,122.5058
2016-06-28,122.6159
2016-06-27,122.7272
2016-06-24,115.0690
2016-06-23,114.8321
2016-06-22,114.6831
2016-06-21,114.5310
2016-06-20,114.3759
2016-06-17,114.2982
2016-06-16,114.2198
2016-06-15,114.1406
2016-06-14,114.0606
2016-06-13,113.9798
2016-06-10,113.8982
2016-06-09,113.8157
2016-06-08,122.0991
2016-06-07,122.3553
2016-06-06,122.6194
2016-06-03,122.8917
2016-06-02,123.1724
2016-06-01,123.4618
2016-05-31,123.6382
2016-05-27,123.8181
2016-05-26,124.0018
2016-05-25,124.1892
2016-05-24,124.3804
2016-05-23,124.5756
2016-05-20,124.6630
2016-05-19,124.7513
2016-05-18,118.0374
2016-05-17,117.8297
2016-05-16,117.6156
2016-05-13,117.3950
2016-05-12,117.1674
