Dates,TRIMA Values
2019-11-18,355.3466
2019-11-15,355.5207
2019-11-14,355.6965
2019-11-13,355.8737
2019-11-12,356.0520
2019-11-11,356.2286
2019-11-08,356.4032
2019-11-07,356.5766
2019-11-06,356.7469
2019-11-05,356.9159
2019-11-04,357.0857
2019-11-01,357.2579
2019-10-31,357.4314
2019-10-30,357.6049
2019-10-29,357.7770
2019-10-28,357.9480
2019-10-25,358.1185
2019-10-24,358.2883
2019-10-23,358.4570
2019-10-22,358.6257
2019-10-21,358.7931
2019-10-18,358.9577
2019-10-17,359.1166
2019-10-16,359.2719
2019-10-15,359.4254
2019-10-14,359.5771
2019-10-11,359.7272
2019-10-10,359.8748
2019-10-09,360.0182
2019-10-08,360.1584
2019-10-07,360.2964
2019-10-04,360.4338
2019-10-03,360.5725
2019-10-02,360.7123
2019-10-01,360.8519
2019-09-30,360.9898
2019-09-27,361.1265
2019-09-26,361.2622
2019-09-25,361.3962
2019-09-24,361.5269
2019-09-23,361.6545
2019-09-20,361.7797
2019-09-19,361.9034
2019-09-18,362.0245
2019-09-17,362.1426
2019-09-16,362.2568
2019-09-13,362.3659
2019-09-12,362.4700
2019-09-11,362.5689
2019-09-10,362.6620
2019-09-09,362.7499
2019-09-06,362.8314
2019-09-05,362.9072
2019-09-04,362.9783
2019-09-03,363.0453
2019-08-30,363.1097
2019-08-29,363.1722
2019-08-28,363.2340
2019-08-27,363.2928
2019-08-26,363.3463
2019-08-23,363.3942
2019-08-22,363.4368
2019-08-21,363.4729
2019-08-20,363.5037
2019-08-19,363.5286
2019-08-16,363.5471
2019-08-15,363.5585
2019-08-14,363.5649
2019-08-13,363.5674
2019-08-12,363.5642
2019-08-09,363.5547
2019-08-08,363.5394
2019-08-07,363.5190
2019-08-06,363.4934
2019-08-05,363.4623
2019-08-02,363.4262
2019-08-01,363.3839
2019-07-31,363.3341
2019-07-30,363.2716
2019-07-29,363.1957
2019-07-26,363.1087
2019-07-25,363.0090
2019-07-24,362.8965
2019-07-23,362.7708
2019-07-22,362.6326
2019-07-19,362.4830
2019-07-18,362.3230
2019-07-17,362.1528
2019-07-16,361.9706
2019-07-15,361.7779
2019-07-12,361.5745
2019-07-11,361.3605
2019-07-10,361.1370
2019-07-09,360.9036
2019-07-08,360.6601
2019-07-05,360.4063
2019-07-03,360.1420
2019-07-02,359.8686
2019-07-01,359.5853
2019-06-28,359.2916
2019-06-27,358.9866
2019-06-26,358.6721
2019-06-25,358.3510
2019-06-24,358.0256
2019-06-21,357.6949
2019-06-20,357.3613
2019-06-19,357.0268
2019-06-18,356.6919
2019-06-17,356.3569
2019-06-14,356.0229
2019-06-13,355.6884
2019-06-12,355.3516
2019-06-11,355.0124
2019-06-10,354.6720
2019-06-07,354.3317
2019-06-06,353.9919
2019-06-05,353.6519
2019-06-04,353.3113
2019-06-03,352.9694
2019-05-31,352.6276
2019-05-30,352.2869
2019-05-29,351.9488
2019-05-28,351.6164
2019-05-24,351.2899
2019-05-23,350.9692
2019-05-22,350.6545
2019-05-21,350.3463
2019-05-20,350.0449
2019-05-17,349.7535
2019-05-16,349.4728
2019-05-15,349.2007
2019-05-14,348.9365
2019-05-13,348.6778
2019-05-10,348.4245
2019-05-09,348.1770
2019-05-08,347.9357
2019-05-07,347.6999
2019-05-06,347.4703
2019-05-03,347.2473
2019-05-02,347.0316
2019-05-01,346.8233
2019-04-30,346.6199
2019-04-29,346.4183
2019-04-26,346.2177
2019-04-25,346.0205
2019-04-24,345.8277
2019-04-23,345.6410
2019-04-22,345.4614
2019-04-18,345.2893
2019-04-17,345.1248
2019-04-16,344.9680
2019-04-15,344.8181
2019-04-12,344.6734
